Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.00E-02,9.44E-07,1.50E-08,2.39E-10,3.81E-12,6.06E-14,9.65E-16,1.54E-17,2.45E-19,3.90E-21,6.20E-23,9.87E-25,1.57E-26,2.50E-28,3.98E-30,6.34E-32,1.01E-33,1.61E-35,2.56E-37,0,0,0,0,0,5.11E-37,3.21E-35,2.02E-33,1.27E-31,7.96E-30,5.00E-28,3.14E-26,1.97E-24,1.24E-22,7.78E-21,4.89E-19,3.07E-17,1.93E-15,1.21E-13,7.61E-12,4.78E-10,3.00E-08,1.89E-06
2.00E-02,2.80E-06,5.92E-08,1.17E-09,2.24E-11,4.15E-13,7.54E-15,1.35E-16,2.39E-18,4.17E-20,7.25E-22,1.25E-23,2.14E-25,3.65E-27,6.20E-29,1.05E-30,1.77E-32,2.97E-34,4.97E-36,8.31E-38,0,0,0,1.66E-37,9.93E-36,5.93E-34,3.53E-32,2.09E-30,1.24E-28,7.29E-27,4.28E-25,2.50E-23,1.45E-21,8.34E-20,4.76E-18,2.70E-16,1.51E-14,8.29E-13,4.47E-11,2.34E-09,1.18E-07,5.60E-06
3.00E-02,5.55E-06,1.46E-07,3.45E-09,7.67E-11,1.62E-12,3.31E-14,6.58E-16,1.28E-17,2.44E-19,4.59E-21,8.51E-23,1.56E-24,2.84E-26,5.12E-28,9.17E-30,1.63E-31,2.88E-33,5.07E-35,8.88E-37,1.55E-38,0,3.09E-38,1.77E-36,1.01E-34,5.76E-33,3.26E-31,1.83E-29,1.02E-27,5.68E-26,3.12E-24,1.70E-22,9.16E-21,4.87E-19,2.55E-17,1.31E-15,6.62E-14,3.24E-12,1.53E-10,6.90E-09,2.91E-07,1.11E-05
5.00E-02,1.44E-05,5.80E-07,2.12E-08,7.26E-10,2.39E-11,7.70E-13,2.44E-14,7.65E-16,2.39E-17,7.41E-19,2.30E-20,7.11E-22,2.20E-23,6.79E-25,2.10E-26,6.48E-28,2.00E-29,6.18E-31,1.91E-32,5.90E-34,5.45E-35,1.18E-33,3.81E-32,1.23E-30,3.99E-29,1.29E-27,4.19E-26,1.36E-24,4.39E-23,1.42E-21,4.58E-20,1.48E-18,4.76E-17,1.53E-15,4.87E-14,1.54E-12,4.78E-11,1.45E-09,4.22E-08,1.16E-06,2.86E-05
9.00E-02,4.39E-05,3.08E-06,1.98E-07,1.22E-08,7.33E-10,4.34E-11,2.55E-12,1.50E-13,8.74E-15,5.10E-16,2.98E-17,1.74E-18,1.01E-19,5.91E-21,3.45E-22,2.01E-23,1.17E-24,6.83E-26,3.98E-27,2.34E-28,4.05E-29,4.63E-28,7.94E-27,1.36E-25,2.33E-24,4.00E-23,6.86E-22,1.18E-20,2.02E-19,3.46E-18,5.93E-17,1.02E-15,1.74E-14,2.98E-13,5.08E-12,8.65E-11,1.46E-09,2.43E-08,3.95E-07,6.12E-06,8.74E-05
1.70E-01,1.42E-04,1.75E-05,2.00E-06,2.20E-07,2.38E-08,2.54E-09,2.69E-10,2.85E-11,3.01E-12,3.17E-13,3.34E-14,3.52E-15,3.70E-16,3.90E-17,4.10E-18,4.32E-19,4.55E-20,4.79E-21,5.04E-22,5.42E-23,1.67E-23,1.06E-22,1.00E-21,9.51E-21,9.03E-20,8.58E-19,8.15E-18,7.74E-17,7.35E-16,6.98E-15,6.63E-14,6.29E-13,5.97E-12,5.65E-11,5.35E-10,5.04E-09,4.72E-08,4.37E-07,3.97E-06,3.47E-05,2.82E-04
3.30E-01,4.57E-04,9.34E-05,1.80E-05,3.35E-06,6.12E-07,1.11E-07,1.98E-08,3.55E-09,6.33E-10,1.13E-10,2.01E-11,3.57E-12,6.35E-13,1.13E-13,2.01E-14,3.57E-15,6.35E-16,1.13E-16,2.01E-17,3.79E-18,1.89E-18,7.16E-18,3.97E-17,2.23E-16,1.25E-15,7.05E-15,3.97E-14,2.23E-13,1.25E-12,7.05E-12,3.96E-11,2.23E-10,1.25E-09,7.01E-09,3.92E-08,2.18E-07,1.21E-06,6.61E-06,3.55E-05,1.84E-04,9.02E-04
6.50E-01,1.41E-03,4.41E-04,1.32E-04,3.82E-05,1.09E-05,3.06E-06,8.55E-07,2.38E-07,6.59E-08,1.83E-08,5.05E-09,1.39E-09,3.85E-10,1.06E-10,2.93E-11,8.09E-12,2.23E-12,6.16E-13,1.72E-13,5.38E-14,3.82E-14,9.54E-14,3.34E-13,1.21E-12,4.37E-12,1.58E-11,5.74E-11,2.08E-10,7.54E-10,2.73E-09,9.89E-09,3.58E-08,1.29E-07,4.66E-07,1.67E-06,5.99E-06,2.13E-05,7.47E-05,2.58E-04,8.63E-04,2.76E-03
1.29,4.18E-03,1.82E-03,7.66E-04,3.15E-04,1.28E-04,5.11E-05,2.03E-05,8.04E-06,3.17E-06,1.25E-06,4.89E-07,1.91E-07,7.50E-08,2.93E-08,1.15E-08,4.48E-09,1.75E-09,6.90E-10,2.80E-10,1.36E-10,1.20E-10,2.19E-10,5.25E-10,1.33E-09,3.40E-09,8.69E-09,2.22E-08,5.68E-08,1.45E-07,3.71E-07,9.47E-07,2.41E-06,6.14E-06,1.56E-05,3.94E-05,9.91E-05,2.47E-04,6.10E-04,1.48E-03,3.52E-03,8.07E-03
